Date,Open,High,Low,Close,Adj Close,Volume
06/10/2022,132.1999969,136.5599976,131.0299988,131.3000031,131.2020721,64415700
07/10/2022,125.0500031,126.6999969,120.2200012,120.7600021,120.6699219,67247800
10/10/2022,120.3700027,121.2399979,114.0800018,116.6999969,116.6129456,69869900
11/10/2022,115.6100006,118.4599991,112.8300018,115.8600006,115.7735672,66748200
12/10/2022,115.7900009,117.3499985,113.4499969,115,114.9142075,49259000
13/10/2022,109.7099991,120.7799988,108.1299973,119.5999985,119.5107651,85010300
14/10/2022,120.5699997,121.1100006,112.0400009,112.2699966,112.1862335,71343200
17/10/2022,115.1800003,119.4800034,115.1699982,118.8799973,118.7913055,58077400
18/10/2022,123.4400024,124.9199982,116.1800003,119.6699982,119.5807266,65936200
19/10/2022,118.7900009,123.5,118.3399963,120.5100021,120.4200974,52313100
20/10/2022,121.1299973,127.6900024,121.0500031,121.9400024,121.8490295,65239800
21/10/2022,120.9800034,124.9800034,118.8700027,124.6600037,124.567009,60949400
24/10/2022,125.0800018,127.0999985,120.6399994,125.9899979,125.8960037,51745700
25/10/2022,126.9400024,133,126.6399994,132.6100006,132.5110626,50548200
26/10/2022,128.6900024,133.8800049,127.0800018,128.9600067,128.8638,53295300
27/10/2022,136.3000031,138.3800049,131.2200012,131.7599945,131.6616821,58311300
28/10/2022,131.0399933,138.5,130.6100006,138.3399963,138.2367859,52104000
31/10/2022,137.7799988,138.3800049,132.9700012,134.9700012,134.8693237,48634100
01/11/2022,138.1100006,139.25,135.1900024,135.4299927,135.3289642,43281700
02/11/2022,138.5,142.1000061,132.1100006,132.1900024,132.0914001,67262800
03/11/2022,130.4299927,137.8099976,129.5599976,134.2100067,134.1098785,50006500
04/11/2022,139.8600006,142.2899933,136.9700012,141.5599976,141.4543762,61257600
07/11/2022,142.2799988,144.1199951,139.5399933,143.0099945,142.9033051,41006100
08/11/2022,148.0099945,148.9100037,142.1600037,146.0200043,145.9110565,59529200
09/11/2022,141.6199951,142.1100006,137.5899963,137.7599945,137.6572266,45441400
10/11/2022,148,157.7299957,145.4700012,157.5,157.3824921,70081900
11/11/2022,158.0700073,163.8899994,154.8200073,163.2700043,163.1481934,65548700
14/11/2022,162.1799927,165.3999939,159.2200012,162.9499969,162.8284302,52785200
15/11/2022,167.2200012,169.9799957,163.8200073,166.6600037,166.5356598,54587600
16/11/2022,161.6199951,163.6199951,158.7299957,159.1000061,158.9812927,64954700
17/11/2022,157.1499939,162.6600037,155.3500061,156.7700043,156.6530304,71089400
18/11/2022,159.6600037,160.0200043,151.1999969,154.0899963,153.9750366,49207200
21/11/2022,151.4700012,154.7700043,150.8000031,153.1699982,153.0557251,40473900
22/11/2022,153.2799988,160.5800018,151.2200012,160.3800049,160.2603607,47286600
23/11/2022,160.9799957,165.2700043,160.4799957,165.1900024,165.0667725,42724100
25/11/2022,163.1799927,164.8699951,161.7200012,162.6999969,162.5786133,16793400
28/11/2022,160.2599945,163.5700073,157.25,158.2700043,158.1519318,30374100
29/11/2022,158.2700043,159.3200073,155.1999969,156.3899994,156.2733307,29838400
30/11/2022,156.9700012,169.3000031,155.9700012,169.2299957,169.1470184,56529800
01/12/2022,169.9900055,172.6499939,166.3500061,171.3500061,171.265976,47097700
